"","Delay2","GammaCc","GammaCi","GammastarCc","GammastarCi"
"X.Intercept.","0","58.4287374300842","58.8037203761065","44.5273955550797","42.5254468841089"
"X.Intercept..1","15","57.5833124258585","57.8133060384198","43.6505981058158","41.4987602654643"
"X.Intercept..2","30","56.7661201436009","56.856049567741","42.8036751186067","40.507106436284"
"X.Intercept..3","60","55.2113278511657","55.034972373762","41.193913884949","38.6223708122992"
"X.Intercept..4","120","52.3881005617639","51.7287726510445","38.2761458128698","35.2064897918501"
"X.Intercept..5","300","52.3881005617639","51.7287726510445","31.3861017268502","27.1407461618854"
