"","Cidiffusion","Alow","Amedian","Ahigh","Ahigh2","Ahigh3","variable","conductance","resistance"
"1","-14.0805894452511","-4.87461753940542","-4.86419435199041","-4.81536251060599","-4.74710314038274","-4.68025068475633","Mesophyll Conductance","0.125","11"
"2","-11.8541114570766","-4.72133615031493","-4.71094118846005","-4.66224099010836","-4.59416400241068","-4.52748832337504","Mesophyll Conductance","0.125","11"
"3","-9.63096032171488","-4.56847050260645","-4.55810365181624","-4.50953456487788","-4.44163922971142","-4.37513962701612","Mesophyll Conductance","0.125","11"
"4","-7.41112252124025","-4.41601890716257","-4.40568005356001","-4.35724154927421","-4.28952714053524","-4.22320291762348","Mesophyll Conductance","0.125","11"
"5","-5.19458461086401","-4.26397968400382","-4.25366871432613","-4.20536026677158","-4.13782606222113","-4.07167652620537","Mesophyll Conductance","0.125","11"
"6","-2.98133321844053","-4.11235116222692","-4.10206796382144","-4.05388904989726","-3.98653433113539","-3.9205587927733","Mesophyll Conductance","0.125","11"
"7","-0.771355043977344","-3.96113167994361","-3.95087614076368","-3.90282624017052","-3.8356502926109","-3.76984806628135","Mesophyll Conductance","0.125","11"
"8","1.43536314085088","-3.81031958421988","-3.80009159282081","-3.75217018804213","-3.68517230088673","-3.61954270456606","Mesophyll Conductance","0.125","11"
"9","3.63883449318441","-3.65991323101581","-3.64971267655082","-3.60191925283431","-3.53509871904835","-3.4696410742868","Mesophyll Conductance","0.125","11"
"10","5.83907209945663","-3.5099109851258","-3.49973775734199","-3.45207180268114","-3.38542791896822","-3.32014155086657","Mesophyll Conductance","0.125","11"
"11","8.0360889758684","-3.36031122011928","-3.3501652093537","-3.30262621446953","-3.23615828124691","-3.17104251843327","Mesophyll Conductance","0.125","11"
"12","10.2298980688585","-3.21111231828198","-3.20099341545766","-3.15358087378054","-3.08728819515473","-3.02234236976154","Mesophyll Conductance","0.125","11"
"13","12.4205122555706","-3.06231267055758","-3.05222076717963","-3.00493417483134","-2.93881605857377","-2.87403950621492","Mesophyll Conductance","0.125","11"
"14","14.607944344316","-2.91391067648988","-2.90384566464164","-2.85668452041746","-2.79074027794038","-2.72613233768862","Mesophyll Conductance","0.125","11"
"15","16.7922070750329","-2.76590474416541","-2.75586651650456","-2.70883032185562","-2.64305926818821","-2.57861928255264","Mesophyll Conductance","0.125","11"
"16","18.9733131197426","-2.61829329015654","-2.60828173991129","-2.56136999892698","-2.49577145269164","-2.43149876759537","Mesophyll Conductance","0.125","11"
"17","21.1512750830004","-2.47107473946496","-2.4610897604303","-2.41430197982082","-2.34887526320962","-2.28476922796769","Mesophyll Conductance","0.125","11"
"18","23.3261055023453","-2.32424752546571","-2.31428901199962","-2.2676247010787","-2.20236913983006","-2.13842910712747","Mesophyll Conductance","0.125","11"
"19","25.4978168487438","-2.17781008985158","-2.16787793687131","-2.12133660753909","-2.05625153091457","-1.99247685678448","Mesophyll Conductance","0.125","11"
"20","27.6664215270314","-2.03176088257798","-2.02185498555637","-1.97543615228234","-1.91052089304371","-1.84691093684583","Mesophyll Conductance","0.125","11"
"21","29.8319318763507","-1.88609836180829","-1.87621861677008","-1.82992179657621","-1.76517569096262","-1.70172981536174","Mesophyll Conductance","0.125","11"
"22","31.9943601705855","-1.74082099385953","-1.73096729737776","-1.68479200982173","-1.6202143975271","-1.55693196847183","Mesophyll Conductance","0.125","11"
"23","34.1537186187914","-1.59592725314862","-1.58609950234095","-1.54004526949959","-1.47563549365014","-1.41251588035177","Mesophyll Conductance","0.125","11"
"24","36.3100193656238","-1.45141562213888","-1.4416137146641","-1.39568006111684","-1.33143746824882","-1.26848004316036","Mesophyll Conductance","0.125","11"
"25","38.4632744917613","-1.30728459128714","-1.29750842534155","-1.25169487815407","-1.18761881819171","-1.12482295698709","Mesophyll Conductance","0.125","11"
"26","40.613496014327","-1.16353265899114","-1.15378213330505","-1.10808822201307","-1.04417804824658","-0.98154312980003","Mesophyll Conductance","0.125","11"
"27","42.7606958873056","-1.02015833153736","-1.01043334537159","-0.96485860196475","-0.901113671028601","-0.838639077394163","Mesophyll Conductance","0.125","11"
"28","44.9048860019575","-0.877160123049316","-0.86746057619174","-0.822004535097623","-0.758424206948957","-0.696109323340147","Mesophyll Conductance","0.125","11"
"29","47.0460781872299","-0.734536555436229","-0.7248623481983","-0.67952454626659","-0.616108184163792","-0.553952398933448","Mesophyll Conductance","0.125","11"
"30","49.1842842101642","-0.592286158342071","-0.582637191555437","-0.537417168042175","-0.474164138523611","-0.412166843143877","Mesophyll Conductance","0.125","11"
"31","51.3195157763005","-0.450407469095063","-0.440783644108169","-0.395680940660147","-0.332590613523078","-0.270751202565547","Mesophyll Conductance","0.125","11"
"32","53.4517845300791","-0.308899032657528","-0.299300251332251","-0.254314411971527","-0.191386160251181","-0.129704031367179","Mesophyll Conductance","0.125","11"
"33","55.5811020552381","-0.167759401576157","-0.158185566284464","-0.113316137393002","-0.0505493373417956","0.010976108757168","Mesophyll Conductance","0.125","11"
"34","57.7074798752092","-0.026987135932651","-0.017438149553306","0.0273153201422867","0.0899212890753507","0.151290648636997","Mesophyll Conductance","0.125","11"
"35","59.8309294535088","0.113419196705242","0.122943430789978","0.167581390233563","0.230027145423348","0.291241011673891","Mesophyll Conductance","0.125","11"
"36","61.9514621941277","0.253461021332319","0.262960599239934","0.307483495060864","0.369769650726399","0.430828613889654","Mesophyll Conductance","0.125","11"
"37","64.0690894419164","0.393139755554123","0.402614772905096","0.44702304943311","0.509150216657721","0.570054863974087","Mesophyll Conductance","0.125","11"
"38","66.1838224829681","0.532456809634779","0.541907361555789","0.586201460835792","0.648170247587092","0.708921163332367","Mesophyll Conductance","0.125","11"
"39","68.2956725449988","0.671413586544459","0.680839767671562","0.725020129478295","0.786831140628014","0.847428906132088","Mesophyll Conductance","0.125","11"
"40","70.4046507977241","0.810011482006479","0.819413386488273","0.863480448340862","0.925134285684532","0.985579479349926","Mesophyll Conductance","0.125","11"
"41","72.5107683532333","0.948251884544024","0.957629606044778","1.00158380322118","1.06308106549766","1.12337426281793","Mesophyll Conductance","0.125","11"
"42","74.6140362663605","1.08613617552652","1.09548980722929","1.13933157278063","1.20067285569149","1.26081462926949","Mesophyll Conductance","0.125","11"
"43","76.7144655350527","1.22366572921564","1.23299536382535","1.27672512859014","1.33791102481891","1.39790194438493","Mesophyll Conductance","0.125","11"
"44","78.8120671007358","1.36084191281099","1.37014764255749","1.41376583517574","1.47479693440697","1.5346375668367","Mesophyll Conductance","0.125","11"
"45","80.9068518486767","1.49766608649534","1.50694800313648","1.5504550500637","1.61133193900194","1.67102284833436","Mesophyll Conductance","0.125","11"
"46","82.9988306083433","1.63413960347969","1.64339779830428","1.68679412382539","1.74751738621396","1.80705913366904","Mesophyll Conductance","0.125","11"
"47","85.0880141537616","1.77026381004779","1.77949837387863","1.82278440012174","1.8833546167614","1.94274776075771","Mesophyll Conductance","0.125","11"
"48","87.1744132038702","1.90604004560045","1.91525106879729","1.95842721574739","2.01884496451488","2.07809006068701","Mesophyll Conductance","0.125","11"
"49","89.2580384228717","2.04146964269946","2.05065721516195","2.09372390067452","2.15398975654089","2.21308735775682","Mesophyll Conductance","0.125","11"
"50","91.3389004205816","2.1765539271112","2.18571813828182","2.22867577809625","2.28879031314515","2.34774096952343","Mesophyll Conductance","0.125","11"
"51","93.4170097527749","2.31129421784987","2.32043515671682","2.36328416446986","2.4232479479156","2.48205220684242","Mesophyll Conductance","0.125","11"
"52","95.4923769215294","2.44569182722047","2.45480958232055","2.49755036955953","2.55736396776509","2.61602237391121","Mesophyll Conductance","0.125","11"
"53","97.5650123755668","2.57974806086134","2.58884272028284","2.63147569647886","2.6911396729737","2.74965276831129","Mesophyll Conductance","0.125","11"
"54","99.6349265105913","2.71346421778652","2.72253586917199","2.76506144173303","2.82457635723077","2.88294468105008","Mesophyll Conductance","0.125","11"
"55","101.702129669625","2.84684159042762","2.85589032097676","2.89830889526061","2.95767530767662","3.0158993966026","Mesophyll Conductance","0.125","11"
"56","103.766632143342","2.97988146467554","2.98890736114794","3.03121934047512","3.09043780494395","3.14851819295261","Mesophyll Conductance","0.125","11"
"57","105.828444170398","3.11258511992173","3.12158826863968","3.16379405430619","3.22286512319887","3.28080234163367","Mesophyll Conductance","0.125","11"
"58","107.88757593776","3.24495382909925","3.25393431595047","3.2960343072405","3.35495853018172","3.41275310776977","Mesophyll Conductance","0.125","11"
"59","109.944037581031","3.37698885872344","3.38594676916382","3.42794136336233","3.48671928724748","3.54437175011559","Mesophyll Conductance","0.125","11"
"60","111.997839184773","3.50869146893236","3.51762688798865","3.55951648039387","3.61814864940596","3.67565952109664","Mesophyll Conductance","0.125","11"
"61","114.048990782828","3.64006291352679","3.64897592579933","3.69076090973517","3.74924786536164","3.80661766684892","Mesophyll Conductance","0.125","11"
"62","116.09750235864","3.77110444001013","3.77999512967548","3.82167589650382","3.88001817755319","3.93724742725839","Mesophyll Conductance","0.125","11"
"63","118.143383845565","3.90181728962778","3.9106857404414","3.95226267957434","4.01046082219278","4.06755003600006","Mesophyll Conductance","0.125","11"
"64","120.186645127188","4.03220269740641","4.04104899270528","4.08252249161724","4.14057702930496","4.1975267205769","Mesophyll Conductance","0.125","11"
"65","122.227296037635","4.16226189219284","4.17108611489805","4.21245655913782","4.27036802276541","4.32717870235835","Mesophyll Conductance","0.125","11"
"66","124.265346361882","4.29199609669261","4.30079832931199","4.34206610251467","4.39983502033924","4.45650719661858","Mesophyll Conductance","0.125","11"
"67","126.300805836058","4.42140652750834","4.43018685213899","4.47135233603786","4.52897923371916","4.58551341257448","Mesophyll Conductance","0.125","11"
"68","128.333684147755","4.55049439517771","4.55925289350859","4.60031646794689","4.65780186856319","4.71419855342336","Mesophyll Conductance","0.125","11"
"69","130.363990936324","4.67926090421128","4.68799765752571","4.72895970046829","4.78630412453226","4.84256381638035","Mesophyll Conductance","0.125","11"
"70","132.391735793182","4.80770725312988","4.81642234230809","4.85728322985302","4.9144871953274","4.97061039271554","Mesophyll Conductance","0.125","11"
"71","134.416928262102","4.93583463450183","4.94452814002343","4.98528824641352","5.04235226872676","5.09833946779082","Mesophyll Conductance","0.125","11"
"72","136.439577839515","5.06364423497987","5.07231623692631","5.11297593456054","5.16990052662224","5.22575222109651","Mesophyll Conductance","0.125","11"
"73","138.459693974798","5.19113723533772","5.19978781339482","5.24034747283966","5.29713314505595","5.35284982628761","Mesophyll Conductance","0.125","11"
"74","140.477286070571","5.31831481050654","5.32694404396684","5.36740403396753","5.42405129425634","5.47963345121989","Mesophyll Conductance","0.125","11"
"75","142.492363482978","5.44517812961095","5.45378609737619","5.49414678486791","5.5506561386741","5.60610425798564","Mesophyll Conductance","0.125","11"
"76","144.504935521981","5.57172835600488","5.5803151365884","5.62057688670735","5.67694883701774","5.73226340294922","Mesophyll Conductance","0.125","11"
"77","146.515011451641","5.69796664730714","5.70653231883625","5.74669549493066","5.80293054228897","5.85811203678225","Mesophyll Conductance","0.125","11"
"78","148.5226004904","5.82389415543668","5.83243879565505","5.87250375929613","5.92860240181779","5.98365130449864","Mesophyll Conductance","0.125","11"
"79","150.527711811365","5.94951202664771","5.95803571291768","5.99800282391047","6.05396555729732","6.10888234548931","Mesophyll Conductance","0.125","11"
"80","152.530354542582","6.07482140156436","6.08332421086934","6.12319382726346","6.17902114481835","6.23380629355669","Mesophyll Conductance","0.125","11"
"81","154.530537767315","6.19982341521532","6.20830542416205","6.2480779022624","6.3037702949037","6.35842427694889","Mesophyll Conductance","0.125","11"
"82","156.52827052432","6.32451919706803","6.33298048188892","6.3726561762663","6.42821413254227","6.48273741839372","Mesophyll Conductance","0.125","11"
"83","158.523561808117","6.44890987106274","6.45735050761811","6.49692977111977","6.55235377722287","6.60674683513239","Mesophyll Conductance","0.125","11"
"84","160.516420569259","6.57299655564626","6.58141661942666","6.62089980318673","6.67619034296777","6.73045363895299","Mesophyll Conductance","0.125","11"
"85","162.506855714604","6.69678036380548","6.70517992993391","6.7445673833838","6.79972493836606","6.85385893622374","Mesophyll Conductance","0.125","11"
