"","Deactivation2","GammaCc","GammaCi","GammastarCc","GammastarCi"
"X.Intercept.","None","58.4287374300842","58.8037203761065","44.5273955550797","42.5254468841089"
"X.Intercept..1","Low","61.2838538707617","61.4240821030711","44.3621577678509","42.3599170997833"
"X.Intercept..2","Medium","73.5763524955192","71.5511059892193","43.6507383513502","41.7476679459594"
"X.Intercept..3","High","91.2284567572355","83.3081845226362","42.6291356571194","41.0740678829679"
